Poverty (Families below poverty) for Pennsylvania by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3143 counties)
"United States",00000,8.7,7176933,"N/A"
"Pennsylvania",42000,8.1,264862,"27 of 52"
"Philadelphia County",42101,17.5,61667,"2,882"
"Cameron County",42023,13.0,173,"2,410"
"Forest County",42053,12.6,134,"2,341"
"Fayette County",42051,12.3,4128,"2,288"
"Jefferson County",42065,11.3,1304,"2,101"
"Luzerne County",42079,11.3,9284,"2,101"
"Mifflin County",42087,11.3,1408,"2,101"
"Erie County",42049,10.7,7052,"1,959"
"Lackawanna County",42069,10.7,5761,"1,959"
"Clearfield County",42033,10.3,2106,"1,873"
"Greene County",42059,10.1,963,"1,830"
"McKean County",42083,10.1,1025,"1,830"
"Clinton County",42035,9.7,943,"1,757"
"Columbia County",42037,9.6,1520,"1,726"
"Bradford County",42015,9.5,1477,"1,694"
"Mercer County",42085,9.5,2771,"1,694"
"Wayne County",42127,9.3,1241,"1,646"
"Dauphin County",42043,9.2,6718,"1,613"
"Crawford County",42039,9.0,1954,"1,551"
"Cambria County",42021,8.9,2948,"1,520"
"Fulton County",42057,8.9,369,"1,520"
"Monroe County",42089,8.7,3732,"1,453"
"Northumberland County",42097,8.6,2029,"1,424"
"Blair County",42013,8.5,2660,"1,400"
"Huntingdon County",42061,8.5,914,"1,400"
"Carbon County",42025,8.4,1424,"1,362"
"Lycoming County",42081,8.4,2446,"1,362"
"Venango County",42121,8.4,1161,"1,362"
"Berks County",42011,8.3,8900,"1,320"
"Tioga County",42117,8.3,935,"1,320"
"Lehigh County",42077,8.2,7990,"1,292"
"Schuylkill County",42107,8.0,2927,"1,231"
"Lebanon County",42075,7.6,2889,"1,110"
"Wyoming County",42131,7.6,526,"1,110"
"Potter County",42105,7.5,332,"1,082"
"Bedford County",42009,7.4,951,"1,055"
"Delaware County",42045,7.4,10510,"1,055"
"Indiana County",42063,7.4,1424,"1,055"
"Lawrence County",42073,7.4,1682,"1,055"
"Somerset County",42111,7.3,1369,"1,022"
"Warren County",42123,7.3,754,"1,022"
"Allegheny County",42003,7.1,21632,"964"
"Armstrong County",42005,7.1,1309,"964"
"Clarion County",42031,7.0,667,"929"
"Juniata County",42067,7.0,433,"929"
"Susquehanna County",42115,7.0,728,"929"
"Beaver County",42007,6.9,3108,"890"
"Sullivan County",42113,6.6,104,"807"
"Perry County",42099,6.3,793,"721"
"Pike County",42103,6.3,1030,"721"
"Westmoreland County",42129,6.3,6095,"721"
"Northampton County",42095,5.9,4835,"609"
"York County",42133,5.9,7260,"609"
"Washington County",42125,5.8,3206,"589"
"Centre County",42027,5.7,1864,"561"
"Lancaster County",42071,5.6,8133,"533"
"Montour County",42093,5.6,275,"533"
"Adams County",42001,5.4,1519,"476"
"Snyder County",42109,5.2,511,"435"
"Union County",42119,5.2,493,"435"
"Cumberland County",42041,5.1,3369,"412"
"Butler County",42019,5.0,2566,"384"
"Franklin County",42055,4.9,2084,"358"
"Elk County",42047,4.8,393,"332"
"Montgomery County",42091,4.2,9450,"215"
"Bucks County",42017,4.1,7215,"191"
"Chester County",42029,3.7,5289,"133"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/12/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty (Families below poverty), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#poverty."
