measure,year,county_name,numerator,denominator,rate,rate_lower,rate_upper
Population,2023,Adams,106748,NA,NA,NA,NA
Population,2023,Allegheny,1224825,NA,NA,NA,NA
Population,2023,Armstrong,64074,NA,NA,NA,NA
Population,2023,Beaver,165631,NA,NA,NA,NA
Population,2023,Bedford,47350,NA,NA,NA,NA
Population,2023,Berks,432821,NA,NA,NA,NA
Population,2023,Blair,120273,NA,NA,NA,NA
Population,2023,Bradford,59695,NA,NA,NA,NA
Population,2023,Bucks,645984,NA,NA,NA,NA
Population,2023,Butler,198413,NA,NA,NA,NA
Population,2023,Cambria,130668,NA,NA,NA,NA
Population,2023,Cameron,4380,NA,NA,NA,NA
Population,2023,Carbon,65458,NA,NA,NA,NA
Population,2023,Centre,157795,NA,NA,NA,NA
Population,2023,Chester,549784,NA,NA,NA,NA
Population,2023,Clarion,36970,NA,NA,NA,NA
Population,2023,Clearfield,77090,NA,NA,NA,NA
Population,2023,Clinton,37607,NA,NA,NA,NA
Population,2023,Columbia,65439,NA,NA,NA,NA
Population,2023,Crawford,82001,NA,NA,NA,NA
Population,2023,Cumberland,270738,NA,NA,NA,NA
Population,2023,Dauphin,289234,NA,NA,NA,NA
Population,2023,Delaware,576720,NA,NA,NA,NA
Population,2023,Elk,30198,NA,NA,NA,NA
Population,2023,Erie,267571,NA,NA,NA,NA
Population,2023,Fayette,123915,NA,NA,NA,NA
Population,2023,Forest,6449,NA,NA,NA,NA
Population,2023,Franklin,157854,NA,NA,NA,NA
Population,2023,Fulton,14468,NA,NA,NA,NA
Population,2023,Greene,34357,NA,NA,NA,NA
Population,2023,Huntingdon,43514,NA,NA,NA,NA
Population,2023,Indiana,83094,NA,NA,NA,NA
Population,2023,Jefferson,43612,NA,NA,NA,NA
Population,2023,Juniata,23243,NA,NA,NA,NA
Population,2023,Lackawanna,216123,NA,NA,NA,NA
Population,2023,Lancaster,558589,NA,NA,NA,NA
Population,2023,Lawrence,84472,NA,NA,NA,NA
Population,2023,Lebanon,144252,NA,NA,NA,NA
Population,2023,Lehigh,377754,NA,NA,NA,NA
Population,2023,Luzerne,327388,NA,NA,NA,NA
Population,2023,Lycoming,112724,NA,NA,NA,NA
Population,2023,McKean,39519,NA,NA,NA,NA
Population,2023,Mercer,108503,NA,NA,NA,NA
Population,2023,Mifflin,45922,NA,NA,NA,NA
Population,2023,Monroe,166053,NA,NA,NA,NA
