SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,42,001,Pennsylvania,Adams County,1,103840,51564,52276,4991,2531,2460,10721,5504,5217,5219,2674,2545,9334,4717,4617,85564,42201,43363,82909,40855,42054,35868,18226,17642,22569,11488,11081,29586,14706,14880,21420,9944,11476,4991,2531,2460,5653,2919,2734,6322,3238,3084,6849,3475,3374,6450,3263,3187,5608,2850,2758,5740,2897,2843,5751,2936,2815,5470,2805,2665,6228,3118,3110,7294,3609,3685,8181,4089,4092,7883,3890,3993,7151,3477,3674,5765,2724,3041,3856,1812,2044,2364,1052,1312,2284,879,1405,44.2,43.0,45.4
050,42,001,Pennsylvania,Adams County,2,103802,51556,52246,4939,2506,2433,10681,5489,5192,5223,2683,2540,9325,4713,4612,85615,42231,43384,82959,40878,42081,35876,18241,17635,22597,11504,11093,29488,14653,14835,21549,10008,11541,4939,2506,2433,5649,2917,2732,6301,3231,3070,6826,3470,3356,6453,3267,3186,5581,2839,2742,5774,2916,2858,5753,2937,2816,5489,2812,2677,6141,3068,3073,7268,3603,3665,8178,4079,4099,7901,3903,3998,7200,3503,3697,5817,2747,3070,3879,1815,2064,2383,1068,1315,2270,875,1395,44.2,43.0,45.5
050,42,001,Pennsylvania,Adams County,3,105696,52407,53289,4900,2486,2414,10590,5432,5158,5255,2694,2561,10726,5406,5320,87591,43146,44445,84951,41795,43156,37568,19057,18511,22923,11635,11288,29135,14470,14665,22167,10284,11883,4900,2486,2414,5672,2894,2778,6254,3216,3038,7409,3768,3641,7236,3654,3582,5559,2829,2730,5944,2997,2947,5787,2930,2857,5633,2879,2754,5799,2873,2926,7219,3610,3609,8036,3986,4050,8081,4001,4080,7337,3575,3762,6177,2913,3264,3928,1811,2117,2486,1114,1372,2239,871,1368,43.6,42.5,44.8
050,42,001,Pennsylvania,Adams County,4,106017,52686,53331,4886,2522,2364,10423,5345,5078,5242,2675,2567,10553,5377,5176,88058,43495,44563,85466,42144,43322,37682,19213,18469,23213,11821,11392,28780,14311,14469,22920,10635,12285,4886,2522,2364,5697,2885,2812,6052,3120,2932,7398,3779,3619,7071,3613,3458,5549,2828,2721,6079,3072,3007,5849,2994,2855,5736,2927,2809,5644,2813,2831,7125,3571,3554,7899,3918,3981,8112,4009,4103,7509,3662,3847,6183,2933,3250,4366,1985,2381,2649,1193,1456,2213,862,1351,43.8,42.6,45.2
050,42,001,Pennsylvania,Adams County,5,107147,53276,53871,4893,2537,2356,10342,5298,5044,5259,2691,2568,10822,5544,5278,89314,44127,45187,86653,42750,43903,38399,19599,18800,23574,12016,11558,28386,14136,14250,23871,11054,12817,4893,2537,2356,5629,2840,2789,5969,3110,2859,7563,3842,3721,7262,3741,3521,5556,2824,2732,6169,3137,3032,5982,3048,2934,5867,3007,2860,5556,2811,2745,6880,3459,3421,7777,3853,3924,8173,4013,4160,7751,3761,3990,6417,3071,3346,4627,2089,2538,2836,1260,1576,2240,873,1367,43.8,42.5,45.3
050,42,001,Pennsylvania,Adams County,6,107914,53576,54338,4882,2504,2378,10214,5199,5015,5247,2678,2569,10919,5660,5259,90317,44568,45749,87571,43195,44376,38801,19820,18981,23868,12136,11732,27987,13919,14068,24797,11480,13317,4882,2504,2378,5453,2774,2679,5994,3079,2915,7569,3845,3724,7364,3839,3525,5554,2801,2753,6179,3150,3029,6164,3117,3047,5971,3068,2903,5567,2837,2730,6565,3275,3290,7636,3793,3843,8219,4014,4205,7968,3891,4077,6639,3162,3477,4892,2212,2680,2959,1272,1687,2339,943,1396,44.0,42.7,45.4
050,42,003,Pennsylvania,Allegheny County,1,1250583,609717,640866,65493,33538,31955,118043,60443,57600,53555,27364,26191,106222,52788,53434,1040464,502115,538349,1013492,488372,525120,493555,249534,244021,347089,176202,170887,320873,156139,164734,239308,103243,136065,65493,33538,31955,64486,32945,31541,66868,34318,32550,72049,36459,35590,74417,36873,37544,91754,46309,45445,98675,50191,48484,85410,43790,41620,71250,35912,35338,69288,34608,34680,75273,36797,38476,85358,41137,44221,90954,43597,47357,79498,37595,41903,60352,27428,32924,39759,16889,22870,27610,10944,16666,32089,10387,21702,40.4,38.8,42.1
050,42,003,Pennsylvania,Allegheny County,2,1249671,609500,640171,65137,33360,31777,117864,60352,57512,53554,27388,26166,106159,52741,53418,1040060,502139,537921,1013116,488400,524716,493959,249742,244217,347582,176460,171122,319121,155362,163759,240254,103837,136417,65137,33360,31777,64494,32961,31533,66706,34238,32468,71956,36400,35556,74421,36882,37539,91233,46080,45153,98476,50020,48456,86003,44099,41904,71870,36261,35609,68655,34314,34341,75034,36749,38285,84698,40801,43897,90734,43498,47236,79896,37818,42078,61135,27797,33338,39726,16921,22805,27578,10937,16641,31919,10364,21555,40.4,38.9,42.1
050,42,003,Pennsylvania,Allegheny County,3,1245440,607465,637975,63139,32397,30742,116543,59604,56939,53306,27343,25963,109660,54259,55401,1039135,501742,537393,1012452,488121,524331,497693,251490,246203,348101,176796,171305,310267,151057,159210,244424,106009,138415,63139,32397,30742,64219,32815,31404,65698,33697,32001,74195,37457,36738,75397,37237,38160,88726,44885,43841,97300,49265,48035,87814,45030,42784,74261,37616,36645,65681,32775,32906,74117,36504,37613,80878,38916,41962,89591,42862,46729,80998,38348,42650,64773,29457,35316,39988,17175,22813,27700,10922,16778,30965,10107,20858,40.4,38.9,42.0
050,42,003,Pennsylvania,Allegheny County,4,1233821,601949,631872,61432,31540,29892,114693,58611,56082,53153,27381,25772,107990,53566,54424,1031012,498020,532992,1004543,484417,520126,494411,250033,244378,346705,176010,170695,300962,146551,154411,248886,108290,140596,61432,31540,29892,63735,32503,31232,64395,33032,31363,73363,37225,36138,74343,36798,37545,86100,43503,42597,95511,48279,47232,89104,45730,43374,75990,38498,37492,64672,32242,32430,72257,35815,36442,77204,37148,40056,86829,41346,45483,81762,38686,43076,65028,29618,35410,43603,18957,24646,28418,11157,17261,30075,9872,20203,40.5,39.1,42.1
050,42,003,Pennsylvania,Allegheny County,5,1230138,600401,629737,60138,30844,29294,113610,58162,55448,53069,27300,25769,108014,53728,54286,1029940,497825,532115,1003321,484095,519226,495168,250339,244829,347141,175994,171147,293314,143047,150267,254852,111326,143526,60138,30844,29294,63317,32316,31001,63349,32529,30820,73813,37569,36244,74214,36776,37438,84786,42582,42204,93344,47305,46039,91029,46500,44529,77982,39607,38375,65297,32571,32726,70248,34987,35261,74112,35739,38373,83657,39750,43907,82495,39000,43495,66887,30641,36246,45656,19919,25737,29772,11815,17957,30042,9951,20091,40.7,39.3,42.2
050,42,003,Pennsylvania,Allegheny County,6,1231814,601607,630207,59110,30224,28886,113662,58242,55420,52784,27153,25631,108256,53958,54298,1033182,499896,533286,1006258,485988,520270,498237,251789,246448,350016,177242,172774,287438,140577,146861,260548,114211,146337,59110,30224,28886,63370,32451,30919,63111,32355,30756,73967,37694,36273,74254,36853,37401,84115,41976,42139,92159,46790,45369,93640,47722,45918,80102,40754,39348,67036,33653,33383,67881,33851,34030,71726,34700,37026,80795,38373,42422,82492,38938,43554,69104,31791,37313,48587,21276,27311,30433,12236,18197,29932,9970,19962,40.7,39.4,42.2
050,42,005,Pennsylvania,Armstrong County,1,65548,32853,32695,3014,1526,1488,6560,3357,3203,3028,1554,1474,4319,2246,2073,54487,27190,27297,52946,26416,26530,20876,10688,10188,14276,7274,7002,19595,10028,9567,14756,6868,7888,3014,1526,1488,3457,1790,1667,3850,1953,1897,3393,1742,1651,3207,1672,1535,3499,1811,1688,3400,1748,1652,3646,1837,1809,3731,1878,1853,4125,2107,2018,4582,2330,2252,5262,2676,2586,5626,2915,2711,4703,2380,2323,3910,1918,1992,2583,1194,1389,1822,775,1047,1738,601,1137,47.0,46.2,47.9
050,42,005,Pennsylvania,Armstrong County,2,65460,32806,32654,2994,1509,1485,6527,3343,3184,3038,1563,1475,4323,2245,2078,54436,27172,27264,52901,26391,26510,20864,10681,10183,14262,7262,7000,19481,9966,9515,14835,6918,7917,2994,1509,1485,3437,1780,1657,3849,1952,1897,3392,1748,1644,3210,1671,1539,3486,1798,1688,3406,1752,1654,3653,1844,1809,3717,1868,1849,4088,2082,2006,4566,2323,2243,5218,2657,2561,5609,2904,2705,4742,2402,2340,3956,1942,2014,2589,1197,1392,1821,782,1039,1727,595,1132,47.0,46.2,47.9
050,42,005,Pennsylvania,Armstrong County,3,65211,32693,32518,2921,1445,1476,6409,3277,3132,3090,1605,1485,4329,2263,2066,54314,27159,27155,52791,26366,26425,20896,10747,10149,14262,7283,6979,19043,9720,9323,15157,7100,8057,2921,1445,1476,3371,1737,1634,3823,1944,1879,3436,1785,1651,3198,1679,1519,3482,1796,1686,3416,1765,1651,3665,1856,1809,3699,1866,1833,3908,1990,1918,4530,2314,2216,5009,2540,2469,5596,2876,2720,4837,2457,2380,4147,2028,2119,2626,1226,1400,1815,777,1038,1732,612,1120,47.1,46.3,48.0
050,42,005,Pennsylvania,Armstrong County,4,64664,32460,32204,2862,1445,1417,6283,3229,3054,3133,1611,1522,4217,2205,2012,53938,26981,26957,52386,26175,26211,20834,10717,10117,14276,7299,6977,18466,9427,9039,15427,7244,8183,2862,1445,1417,3319,1712,1607,3756,1915,1841,3477,1824,1653,3081,1594,1487,3521,1824,1697,3455,1788,1667,3621,1843,1778,3679,1844,1835,3804,1947,1857,4417,2270,2147,4775,2421,2354,5470,2789,2681,4975,2547,2428,4079,2000,2079,2822,1312,1510,1826,775,1051,1725,610,1115,47.1,46.2,48.0
050,42,005,Pennsylvania,Armstrong County,5,64094,32152,31942,2802,1424,1378,6146,3150,2996,3115,1601,1514,4168,2170,1998,53590,26789,26801,52031,25977,26054,20667,10607,10060,14147,7225,6922,17930,9130,8800,15786,7452,8334,2802,1424,1378,3238,1656,1582,3671,1883,1788,3464,1813,1651,3056,1569,1487,3472,1783,1689,3476,1810,1666,3571,1824,1747,3628,1808,1820,3748,1928,1820,4287,2208,2079,4602,2333,2269,5293,2661,2632,5160,2635,2525,4092,2029,2063,2918,1363,1555,1891,804,1087,1725,621,1104,47.3,46.3,48.2
050,42,005,Pennsylvania,Armstrong County,6,63679,31911,31768,2739,1404,1335,6022,3089,2933,3087,1565,1522,4149,2140,2009,53415,26668,26747,51831,25853,25978,20558,10512,10046,14070,7174,6896,17488,8894,8594,16124,7645,8479,2739,1404,1335,3171,1604,1567,3599,1852,1747,3452,1813,1639,3036,1525,1511,3500,1799,1701,3441,1779,1662,3540,1811,1729,3589,1785,1804,3736,1912,1824,4137,2127,2010,4499,2275,2224,5116,2580,2536,5246,2690,2556,4125,2065,2060,3108,1433,1675,1916,833,1083,1729,624,1105,47.4,46.5,48.3
050,42,007,Pennsylvania,Beaver County,1,168220,82378,85842,8428,4349,4079,16788,8591,8197,7869,3976,3893,11677,5993,5684,139093,67434,71659,135135,65462,69673,57108,28979,28129,39528,20017,19511,47490,23317,24173,36440,16135,20305,8428,4349,4079,8988,4570,4418,9766,5028,4738,9201,4699,4502,8379,4263,4116,9766,4944,4822,9903,4985,4918,10375,5311,5064,9484,4777,4707,9604,4767,4837,11000,5453,5547,13263,6463,6800,13623,6634,6989,11804,5691,6113,9403,4436,4967,6231,2731,3500,4458,1776,2682,4544,1501,3043,44.9,43.1,46.7
050,42,007,Pennsylvania,Beaver County,2,167864,82190,85674,8323,4305,4018,16760,8561,8199,7864,3972,3892,11665,5982,5683,138870,67325,71545,134917,65352,69565,57099,28983,28116,39534,20031,19503,47164,23157,24007,36554,16182,20372,8323,4305,4018,8981,4552,4429,9743,5011,4732,9211,4697,4514,8354,4255,4099,9717,4929,4788,9899,4986,4913,10383,5311,5072,9535,4805,4730,9491,4711,4780,10946,5432,5514,13163,6412,6751,13564,6602,6962,11863,5720,6143,9499,4477,5022,6223,2722,3501,4441,1766,2675,4528,1497,3031,44.9,43.1,46.7
050,42,007,Pennsylvania,Beaver County,3,166979,81856,85123,8129,4248,3881,16670,8486,8184,7839,3981,3858,11638,5983,5655,138248,67120,71128,134341,65141,69200,57184,29060,28124,39700,20110,19590,45904,22568,23336,37099,16480,20619,8129,4248,3881,9029,4528,4501,9634,4972,4662,9189,4694,4495,8295,4256,4039,9475,4800,4675,10028,5027,5001,10371,5290,5081,9826,4993,4833,9071,4509,4562,10728,5335,5393,12635,6164,6471,13470,6560,6910,12097,5832,6265,9951,4686,5265,6266,2735,3531,4360,1741,2619,4425,1486,2939,44.7,43.1,46.6
050,42,007,Pennsylvania,Beaver County,4,165682,81248,84434,7897,4075,3822,16393,8298,8095,7907,4054,3853,11548,5969,5579,137386,66814,70572,133485,64821,68664,57017,29063,27954,39587,20084,19503,44795,22046,22749,37555,16722,20833,7897,4075,3822,8984,4506,4478,9434,4836,4598,9165,4705,4460,8265,4274,3991,9163,4673,4490,10158,5096,5062,10209,5173,5036,10057,5142,4915,9005,4500,4505,10353,5147,5206,12034,5886,6148,13403,6513,6890,12185,5863,6322,9893,4671,5222,6868,3008,3860,4314,1761,2553,4295,1419,2876,44.7,43.1,46.5
050,42,007,Pennsylvania,Beaver County,5,165556,81253,84303,7813,3980,3833,16193,8210,7983,7844,4043,3801,11602,5969,5633,137644,67037,70607,133706,65020,68686,57525,29365,28160,39974,20332,19642,43840,21583,22257,38290,17136,21154,7813,3980,3833,8841,4478,4363,9247,4711,4536,9205,4776,4429,8346,4257,4089,9126,4636,4490,10410,5278,5132,10179,5197,4982,10259,5221,5038,9087,4550,4537,10025,4986,5039,11523,5615,5908,13205,6432,6773,12337,5937,6400,10080,4756,5324,7174,3199,3975,4411,1814,2597,4288,1430,2858,44.7,43.1,46.4
050,42,007,Pennsylvania,Beaver County,6,165540,81261,84279,7765,3928,3837,15935,8108,7827,7817,4040,3777,11670,6001,5669,138052,67271,70781,134023,65185,68838,57832,29509,28323,40259,20455,19804,43039,21194,21845,39055,17535,21520,7765,3928,3837,8704,4452,4252,9145,4643,4502,9135,4761,4374,8438,4293,4145,9134,4630,4504,10467,5333,5134,10359,5266,5093,10299,5226,5073,9270,4662,4608,9794,4862,4932,11048,5394,5654,12927,6276,6651,12438,5980,6458,10337,4863,5474,7562,3403,4159,4488,1865,2623,4230,1424,2806,44.7,43.1,46.2
050,42,009,Pennsylvania,Bedford County,1,47576,23847,23729,2374,1234,1140,4615,2345,2270,2339,1221,1118,3259,1699,1560,39466,19679,19787,38248,19047,19201,15042,7737,7305,10007,5110,4897,14033,7116,6917,10949,5122,5827,2374,1234,1140,2450,1262,1188,2728,1376,1352,2680,1412,1268,2355,1215,1140,2544,1297,1247,2439,1302,1137,2440,1219,1221,2584,1292,1292,3011,1488,1523,3343,1729,1614,3767,1886,1881,3912,2013,1899,3381,1663,1718,2713,1331,1382,2123,1004,1119,1415,619,796,1317,505,812,47.2,46.2,48.1
050,42,009,Pennsylvania,Bedford County,2,47580,23853,23727,2383,1240,1143,4609,2342,2267,2329,1212,1117,3263,1698,1565,39471,19690,19781,38259,19059,19200,15056,7749,7307,10020,5124,4896,13979,7090,6889,10997,5147,5850,2383,1240,1143,2448,1257,1191,2717,1370,1347,2673,1412,1261,2363,1213,1150,2545,1300,1245,2458,1321,1137,2424,1207,1217,2593,1296,1297,2966,1463,1503,3333,1725,1608,3753,1882,1871,3927,2020,1907,3410,1675,1735,2729,1342,1387,2114,1000,1114,1423,625,798,1321,505,816,47.2,46.2,48.1
050,42,009,Pennsylvania,Bedford County,3,47505,23839,23666,2382,1240,1142,4557,2336,2221,2290,1185,1105,3352,1753,1599,39444,19694,19750,38276,19078,19198,15124,7794,7330,10041,5134,4907,13759,6975,6784,11124,5216,5908,2382,1240,1142,2454,1270,1184,2662,1344,1318,2661,1407,1254,2422,1253,1169,2502,1284,1218,2525,1363,1162,2374,1168,1206,2640,1319,1321,2773,1351,1422,3345,1739,1606,3629,1824,1805,4012,2061,1951,3490,1710,1780,2800,1376,1424,2060,975,1085,1463,647,816,1311,508,803,47.2,46.1,48.2
050,42,009,Pennsylvania,Bedford County,4,47395,23794,23601,2378,1209,1169,4591,2351,2240,2233,1148,1085,3306,1750,1556,39318,19673,19645,38193,19086,19107,15073,7799,7274,10080,5179,4901,13497,6840,6657,11310,5317,5993,2378,1209,1169,2504,1304,1200,2633,1325,1308,2579,1360,1219,2414,1260,1154,2460,1264,1196,2626,1417,1209,2391,1201,1190,2603,1297,1306,2669,1308,1361,3322,1699,1623,3494,1768,1726,4012,2065,1947,3558,1761,1797,2789,1362,1427,2173,1033,1140,1491,659,832,1299,502,797,47.1,45.9,48.3
050,42,009,Pennsylvania,Bedford County,5,47442,23763,23679,2380,1207,1173,4608,2363,2245,2237,1120,1117,3260,1728,1532,39363,19650,19713,38217,19073,19144,15082,7776,7306,10129,5194,4935,13207,6676,6531,11621,5475,6146,2380,1207,1173,2528,1315,1213,2624,1314,1310,2534,1318,1216,2419,1264,1155,2435,1253,1182,2675,1417,1258,2432,1233,1199,2587,1291,1296,2640,1312,1328,3279,1657,1622,3387,1723,1664,3901,1984,1917,3642,1806,1836,2929,1445,1484,2192,1039,1153,1534,671,863,1324,514,810,47.0,46.0,48.2
050,42,009,Pennsylvania,Bedford County,6,47643,23845,23798,2399,1224,1175,4616,2376,2240,2200,1101,1099,3231,1707,1524,39537,19711,19826,38428,19144,19284,15203,7851,7352,10322,5312,5010,12848,6457,6391,12027,5668,6359,2399,1224,1175,2559,1320,1239,2607,1325,1282,2484,1277,1207,2397,1262,1135,2533,1307,1226,2656,1377,1279,2559,1336,1223,2574,1292,1282,2630,1314,1316,3155,1580,1575,3283,1664,1619,3780,1899,1881,3776,1903,1873,3033,1471,1562,2287,1092,1195,1560,675,885,1371,527,844,47.0,45.8,48.2
050,42,011,Pennsylvania,Berks County,1,428850,212713,216137,24021,12305,11716,48801,25188,23613,23199,11859,11340,40199,20315,19884,344453,169311,175142,332829,163361,169468,161401,81544,79857,103756,52319,51437,114380,57041,57339,74494,33686,40808,24021,12305,11716,26002,13315,12687,28552,14822,13730,30192,15249,14943,27453,13976,13477,26307,13507,12800,26846,13565,13281,25895,12849,13046,24708,12398,12310,26059,12958,13101,28536,14210,14326,31280,15596,15684,28505,14277,14228,23751,11617,12134,19698,9306,10392,12839,5775,7064,8463,3584,4879,9743,3404,6339,39.8,38.7,40.9
050,42,011,Pennsylvania,Berks County,2,428693,212631,216062,23937,12255,11682,48635,25074,23561,23237,11889,11348,40213,20286,19927,344534,169371,175163,332884,163413,169471,161676,81693,79983,104000,52489,51511,114032,56870,57162,74639,33768,40871,23937,12255,11682,25930,13255,12675,28479,14790,13689,30197,15238,14959,27479,13966,13513,26281,13506,12775,26941,13632,13309,25964,12911,13053,24814,12440,12374,25800,12833,12967,28428,14174,14254,31200,15532,15668,28604,14331,14273,23863,11659,12204,19865,9392,10473,12868,5784,7084,8433,3572,4861,9610,3361,6249,39.8,38.7,40.9
050,42,011,Pennsylvania,Berks County,3,429698,213188,216510,23509,12149,11360,48247,24750,23497,23319,12011,11308,40387,20300,20087,346346,170279,176067,334623,164278,170345,163244,82528,80716,105360,53263,52097,112753,56258,56495,76123,34457,41666,23509,12149,11360,25947,13219,12728,28122,14577,13545,30299,15297,15002,27585,13968,13617,26305,13576,12729,27436,13921,13515,26309,13144,13165,25310,12622,12688,24853,12380,12473,28184,14047,14137,30636,15235,15401,29080,14596,14484,24249,11819,12430,20679,9801,10878,13149,5881,7268,8572,3653,4919,9474,3303,6171,39.9,38.8,41.0
050,42,011,Pennsylvania,Berks County,4,432281,214420,217861,23595,12141,11454,47795,24531,23264,23529,12171,11358,41531,20791,20740,349107,171579,177528,337362,165577,171785,165794,83929,81865,106645,54056,52589,111305,55493,55812,77881,35237,42644,23595,12141,11454,25836,13172,12664,27870,14448,13422,30981,15699,15282,28168,14174,13994,26070,13466,12604,27880,14239,13641,26720,13446,13274,25975,12905,13070,24413,12145,12268,27685,13819,13866,29898,14827,15071,29309,14702,14607,24761,12035,12726,20400,9722,10678,14559,6521,8038,8761,3692,5069,9400,3267,6133,39.8,38.6,41.0
050,42,011,Pennsylvania,Berks County,5,435284,215802,219482,23673,12083,11590,47756,24523,23233,23492,12230,11262,41772,20908,20864,352201,173100,179101,340363,166966,173397,167858,84987,82871,108275,54824,53451,110196,54888,55308,80120,36346,43774,23673,12083,11590,25894,13243,12651,27543,14255,13288,31283,15896,15387,28300,14267,14033,26118,13490,12628,28061,14305,13756,27448,13823,13625,26648,13206,13442,24436,12170,12266,27236,13670,13566,29118,14318,14800,29406,14730,14676,25480,12400,13080,20558,9851,10707,15330,6881,8449,9273,3913,5360,9479,3301,6178,39.9,38.7,41.0
050,42,011,Pennsylvania,Berks County,6,439117,217612,221505,23787,12031,11756,47862,24535,23327,23548,12209,11339,42364,21109,21255,356010,175122,180888,343920,168837,175083,170034,86218,83816,109808,55834,53974,109449,54407,55042,82299,37487,44812,23787,12031,11756,25885,13198,12687,27663,14271,13392,31370,15880,15490,28856,14504,14352,26259,13657,12602,28152,14395,13757,28400,14458,13942,26997,13324,13673,24725,12323,12402,26778,13430,13348,28258,13875,14383,29688,14779,14909,26067,12781,13286,20793,9957,10836,16237,7363,8874,9670,4057,5613,9532,3329,6203,39.9,38.7,41.0
