SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,42,001,Pennsylvania,Adams County,1,0,103840,51564,52276,48941,49725,1142,937,240,211,387,527,39,37,815,839,49713,50514,1592,1430,436,397,595,725,64,68,47419,48645,45321,46566,920,728,105,100,358,496,22,25,693,730,45986,47263,1291,1147,260,251,545,679,39,49,4145,3631,3620,3159,222,209,135,111,29,31,17,12,122,109,3727,3251,301,283,176,146,50,46,25,19
050,42,001,Pennsylvania,Adams County,1,1,4991,2531,2460,2309,2211,59,72,26,23,25,29,2,4,110,121,2415,2331,138,158,36,29,50,58,3,7,2188,2130,2036,1948,33,40,6,6,17,20,2,3,94,113,2127,2061,99,120,12,11,41,49,3,4,343,330,273,263,26,32,20,17,8,9,0,1,16,8,288,270,39,38,24,18,9,9,0,3
050,42,001,Pennsylvania,Adams County,1,2,5653,2919,2734,2648,2477,85,96,22,19,30,36,10,8,124,98,2766,2572,172,168,32,25,62,58,12,10,2474,2334,2279,2165,48,45,6,7,22,28,5,5,114,84,2389,2248,128,108,14,9,52,48,6,6,445,400,369,312,37,51,16,12,8,8,5,3,10,14,377,324,44,60,18,16,10,10,6,4
050,42,001,Pennsylvania,Adams County,1,3,6322,3238,3084,2978,2837,99,81,17,14,29,34,1,1,114,117,3088,2950,180,167,30,21,56,59,2,4,2786,2653,2583,2440,79,64,5,7,29,34,0,1,90,107,2672,2544,139,143,11,10,55,59,1,4,452,431,395,397,20,17,12,7,0,0,1,0,24,10,416,406,41,24,19,11,1,0,1,0
050,42,001,Pennsylvania,Adams County,1,4,6849,3475,3374,3236,3110,88,104,19,17,30,49,2,0,100,94,3333,3197,151,171,30,25,57,72,4,6,3013,2970,2820,2765,70,74,5,7,30,47,1,0,87,77,2906,2840,127,126,13,11,52,67,2,4,462,404,416,345,18,30,14,10,0,2,1,0,13,17,427,357,24,45,17,14,5,5,2,2
050,42,001,Pennsylvania,Adams County,1,5,6450,3263,3187,3045,2947,89,91,13,11,39,25,1,1,76,112,3118,3049,138,164,27,29,58,53,3,9,2883,2865,2703,2666,72,78,2,7,38,23,0,1,68,90,2768,2748,116,137,13,19,56,49,2,7,380,322,342,281,17,13,11,4,1,2,1,0,8,22,350,301,22,27,14,10,2,4,1,2
050,42,001,Pennsylvania,Adams County,1,6,5608,2850,2758,2677,2611,78,59,15,15,16,19,3,2,61,52,2733,2660,108,88,27,25,34,33,9,4,2577,2526,2435,2398,64,56,7,6,16,16,1,2,54,48,2485,2443,90,82,17,15,33,30,6,4,273,232,242,213,14,3,8,9,0,3,2,0,7,4,248,217,18,6,10,10,1,3,3,0
050,42,001,Pennsylvania,Adams County,1,7,5740,2897,2843,2727,2708,87,50,15,10,23,41,4,5,41,29,2761,2735,104,64,27,20,39,50,8,5,2598,2562,2470,2450,72,39,5,5,21,41,3,1,27,26,2493,2475,83,51,11,13,34,50,4,1,299,281,257,258,15,11,10,5,2,0,1,4,14,3,268,260,21,13,16,7,5,0,4,4
050,42,001,Pennsylvania,Adams County,1,8,5751,2936,2815,2798,2661,70,56,10,18,34,46,1,0,23,34,2819,2692,80,68,19,30,43,58,3,1,2662,2581,2554,2465,55,36,7,7,33,45,1,0,12,28,2565,2492,58,44,10,17,40,55,1,1,274,234,244,196,15,20,3,11,1,1,0,0,11,6,254,200,22,24,9,13,3,3,2,0
050,42,001,Pennsylvania,Adams County,1,9,5470,2805,2665,2636,2558,100,36,12,12,27,28,2,5,28,26,2662,2584,107,46,26,21,37,36,3,6,2526,2476,2389,2393,81,28,5,5,27,28,1,4,23,18,2410,2411,86,32,16,12,35,34,2,5,279,189,247,165,19,8,7,7,0,0,1,1,5,8,252,173,21,14,10,9,2,2,1,1
